IATA,Name,Country,BaseCity,Active
BD,bmi,United Kingdom,LONDON,Y
WW,bmibaby,United Kingdom,LONDON,Y
CH,Bemidji Airlines,United States,"WASHINGTON, D.C.",Y
BV,Blue Panorama Airlines,Italy,ROME,Y
8E,Bering Air,United States,"WASHINGTON, D.C.",Y
B2,Belavia Belarusian Airlines,Belarus,MINSK,Y
7P,Metro Batavia,Indonesia,JAKARTA,Y
J8,Berjaya Air,Malaysia,KUALA LUMPUR,Y
QW,Blue Wings,Germany,BERLIN,Y
DB,Brit Air,France,PARIS,Y
SN,Brussels Airlines,Belgium,BRUSSELS,Y
NT,Binter Canarias,Spain,MADRID,Y
0B,Blue Air,Romania,BUCHAREST,Y
KJ,British Mediterranean Airways,United Kingdom,LONDON,Y
FB,Bulgaria Air,Bulgaria,SOFIA,Y
8N,Barents AirLink,Sweden,STOCKHOLM,Y
5C,CAL Cargo Air Lines,Israel,JERUSALEM,Y
XG,Calima Aviacion,Spain,MADRID,Y
CP,Canadian Airlines,Canada,OTTAWA,Y
5T,Canadian North,Canada,OTTAWA,Y
9K,Cape Air,United States,"WASHINGTON, D.C.",Y
V3,Carpatair,Romania,BUCHAREST,Y
RV,Caspian Airlines,Iran,TEHRAN,Y
CX,Cathay Pacific,Hong Kong,Hong Kong,Y
5J,Cebu Pacific,Philippines,MANILA,Y
C0,Centralwings,Poland,WARSAW,Y
RP,Chautauqua Airlines,United States,"WASHINGTON, D.C.",Y
CI,China Airlines,Taiwan,TAIPEI,Y
MU,China Eastern Airlines,China,BEIJING,Y
CZ,China Southern Airlines,China,BEIJING,Y
HR,China United Airlines,China,BEIJING,Y
3Q,Yunnan Airlines,China,BEIJING,Y
QI,Cimber Air,Denmark,COPENHAGEN,Y
C9,Cirrus Airlines,Germany,BERLIN,Y
CF,City Airline,Sweden,STOCKHOLM,Y
G3,City Connexion Airlines,Burundi,BUJUMBURA,Y
WX,CityJet,Ireland,DUBLIN,Y
CJ,BA CityFlyer,United Kingdom,LONDON,Y
DQ,Coastal Air,United States,"WASHINGTON, D.C.",Y
9L,Colgan Air,United States,"WASHINGTON, D.C.",Y
OH,Comair,United States,"WASHINGTON, D.C.",Y
MN,Comair,South Africa,Cape Town,Y
C5,CommutAir,United States,"WASHINGTON, D.C.",Y
KR,Comores Airlines,Comoros,MORONI,Y
CP,Compass Airlines,United States,"WASHINGTON, D.C.",Y
DE,Condor Flugdienst,Germany,BERLIN,Y
6A,Consorcio Aviaxsa,Mexico,MEXICO CITY,Y
C3,Contact Air,Germany,BERLIN,Y
CO,Continental Airlines,United States,"WASHINGTON, D.C.",Y
CO,Continental Express,United States,"WASHINGTON, D.C.",Y
CS,Continental Micronesia,United States,"WASHINGTON, D.C.",Y
V0,Conviasa,Venezuela,CARACAS,Y
CM,Copa Airlines,Panama,PANAMA CITY,Y
SS,Corsairfly,France,PARIS,Y
XK,Corse-Mediterranee,France,PARIS,Y
OU,Croatia Airlines,Croatia,ZAGREB,Y
CU,Cubana de Aviación,Cuba,HAVANA,Y
CY,Cyprus Airways,Cyprus,NICOSIA,Y
YK,Cyprus Turkish Airlines,Turkey,ANKARA,Y
OK,Czech Airlines,Czech Republic,PRAGUE,Y
DX,DAT Danish Air Transport,Denmark,COPENHAGEN,Y
D3,Daallo Airlines,Djibouti,DJIBOUTI (CITY),Y
H8,Dalavia,Russia,MOSCOW,Y
0D,Darwin Airline,Switzerland,BERN,Y
DL,Delta Air Lines,United States,"WASHINGTON, D.C.",Y
2A,Deutsche Bahn,Germany,BERLIN,Y
D8,Djibouti Airlines,Djibouti,DJIBOUTI (CITY),Y
DO,Dominicana de Aviaci,Dominican Republic,SANTO DOMINGO,Y
E3,Domodedovo Airlines,Russia,MOSCOW,Y
5D,DonbassAero,Ukraine,KIEV,Y
KB,Druk Air,Bhutan,THIMPHU,Y
DI,dba,Germany,BERLIN,Y
BR,EVA Air,Taiwan,TAIPEI,Y
H7,Eagle Air,Uganda,KAMPALA,Y
QU,East African,Uganda,KAMPALA,Y
T3,Eastern Airways,United Kingdom,LONDON,Y
DK,Eastland Air,Australia,CANBERRA,Y
WK,Edelweiss Air,Switzerland,BERN,Y
MS,Egyptair,Egypt,CAIRO,Y
LY,El Al Israel Airlines,Israel,JERUSALEM,Y
UZ,El-Buraq Air Transport,Libya,TRIPOLI,Y
EK,Emirates,United Arab Emirates,ABU DHABI,Y
EU,Empresa Ecuatoriana De Aviacion,Ecuador,QUITO,Y
B8,Eritrean Airlines,Eritrea,ASMARA,Y
OV,Estonian Air,Estonia,TALLINN,Y
ET,Ethiopian Airlines,Ethiopia,ADDIS ABABA,Y
EY,Etihad Airways,United Arab Emirates,ABU DHABI,Y
RZ,Euro Exec Express,Sweden,STOCKHOLM,Y
UI,Eurocypria Airlines,Cyprus,NICOSIA,Y
GJ,Eurofly Service,Italy,ROME,Y
K2,Eurolot,Poland,WARSAW,Y
EA,European Air Express,Germany,BERLIN,Y
EW,Eurowings,Germany,BERLIN,Y
EZ,Evergreen International Airlines,United States,"WASHINGTON, D.C.",Y
JN,Excel Airways,United Kingdom,LONDON,Y
EO,Express One International,United States,"WASHINGTON, D.C.",Y
XE,ExpressJet,United States,"WASHINGTON, D.C.",Y
U2,easyJet,United Kingdom,LONDON,Y
EF,Far Eastern Air Transport,Taiwan,TAIPEI,Y
AY,Finnair,Finland,HELSINKI,Y
FC,Finncomm Airlines,Finland,HELSINKI,Y
FY,Firefly,Malaysia,KUALA LUMPUR,Y
7F,First Air,Canada,OTTAWA,Y
DP,First Choice Airways,United Kingdom,LONDON,Y
B5,Flightline,United Kingdom,LONDON,Y
RF,Florida West International Airways,United States,"WASHINGTON, D.C.",Y
D7,AirAsia X,Malaysia,KUALA LUMPUR,Y
TE,FlyLal,Lithuania,VILNIUS,Y
LF,FlyNordic,Sweden,STOCKHOLM,Y
F7,Flybaboo,Switzerland,BERN,Y
BE,Flybe,United Kingdom,LONDON,Y
B4,Flyglobespan,United Kingdom,LONDON,Y
VY,Formosa Airlines,Taiwan,TAIPEI,Y
FP,Freedom Air,United States,"WASHINGTON, D.C.",Y
F9,Frontier Airlines,United States,"WASHINGTON, D.C.",Y
2F,Frontier Flying Service,United States,"WASHINGTON, D.C.",Y
GT,GB Airways,United Kingdom,LONDON,Y
GA,Garuda Indonesia,Indonesia,JAKARTA,Y
4G,Gazpromavia,Russia,MOSCOW,Y
A9,Georgian Airways,Georgia,TBILISI,Y
QB,Georgian National Airlines,Georgia,TBILISI,Y
ST,Germania,Germany,BERLIN,Y
4U,Germanwings,Germany,BERLIN,Y
G0,Ghana International Airlines,Ghana,ACCRA,Y
G8,Go Air,India,NEW DELHI,Y
G7,GoJet Airlines,United States,"WASHINGTON, D.C.",Y
G3,Gol Transportes Aéreos,Brazil,BRASILIA,Y
DC,Golden Air,Sweden,STOCKHOLM,Y
ZK,Great Lakes Airlines,United States,"WASHINGTON, D.C.",Y
TA,Grupo TACA,Costa Rica,SAN JOSE,Y
GF,Gulf Air Bahrain,Bahrain,MANAMA,Y
H6,Hageland Aviation Services,United States,"WASHINGTON, D.C.",Y
HU,Hainan Airlines,China,BEIJING,Y
2T,Haiti Ambassador Airlines,Haiti,PORT-AU-PRINCE,Y
4R,Hamburg International,Germany,BERLIN,Y
X3,TUIfly,Germany,BERLIN,Y
HF,Hapagfly,Germany,BERLIN,Y
HA,Hawaiian Airlines,United States,"WASHINGTON, D.C.",Y
BH,Hawkair,Canada,OTTAWA,Y
8H,Heli France,France,PARIS,Y
JB,Helijet,Canada,OTTAWA,Y
T4,Hellas Jet,Greece,ATHENS,Y
HW,Hello,Switzerland,BERN,Y
2L,Helvetic Airways,Switzerland,BERN,Y
UD,Hex'Air,France,PARIS,Y
HD,Hokkaido International Airlines,Japan,TOKYO,Y
HX,Hong Kong Airlines,Hong Kong,Hong Kong,Y
UO,Hong Kong Express Airways,Hong Kong,Hong Kong,Y
QX,Horizon Air,United States,"WASHINGTON, D.C.",Y
BN,Horizon Airlines,Australia,CANBERRA,Y
IB,Iberia Airlines,Spain,MADRID,Y
TY,Iberworld,Spain,MADRID,Y
FW,Ibex Airlines,Japan,TOKYO,Y
FI,Icelandair,Iceland,REYKJAVIK,Y
IK,Imair Airlines,Azerbaijan,BAKU,Y
6E,IndiGo Airlines,India,NEW DELHI,Y
IC,Indian Airlines,India,NEW DELHI,Y
I9,Indigo,United States,"WASHINGTON, D.C.",Y
QZ,Indonesia AirAsia,Indonesia,JAKARTA,Y
IO,Indonesian Airlines,Indonesia,JAKARTA,Y
D6,Interair South Africa,South Africa,Cape Town,Y
ZA,Interavia Airlines,Russia,MOSCOW,Y
ID,Interlink Airlines,South Africa,Cape Town,Y
3L,Intersky,Austria,VIENNA,Y
IR,Iran Air,Iran,TEHRAN,Y
EP,Iran Aseman Airlines,Iran,TEHRAN,Y
IA,Iraqi Airways,Iraq,BAGHDAD,Y
IS,Island Airlines,United States,"WASHINGTON, D.C.",Y
8L,Cargo Plus Aviation,United Arab Emirates,ABU DHABI,Y
IF,Islas Airways,Spain,MADRID,Y
WC,Islena De Inversiones,Honduras,TEGUCIGALPA,Y
6H,Israir,Israel,JERUSALEM,Y
GI,Itek Air,Kyrgyzstan,BISHKEK,Y
JC,JAL Express,Japan,TOKYO,Y
JO,JALways,Japan,TOKYO,Y
JL,Japan Airlines,Japan,TOKYO,Y
