iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,municipality
ANG,medium_airport,Angoulême-Brie-Champniers Airport,45.7291984558106,0.221456006169319,436,EU,FR,Angoulême/Brie/Champniers
ANR,medium_airport,Antwerp International Airport (Deurne),51.1893997192,4.46027994156,39,EU,BE,Antwerp
ANX,medium_airport,Andøya Airport,69.292503356934,16.144199371338,43,EU,NO,Andenes
AOI,medium_airport,Ancona Falconara Airport,43.616299,13.3623,49,EU,IT,Ancona
AOK,medium_airport,Karpathos Airport,35.4213981628418,27.1459999084473,66,EU,GR,Karpathos Island
AOT,medium_airport,Aosta Airport,45.738499,7.36872,1791,EU,IT,Aosta
ARH,medium_airport,Talagi Airport,64.6003036499023,40.7167015075684,62,EU,RU,Archangelsk
ARN,large_airport,Stockholm-Arlanda Airport,59.651901245117,17.918600082397,137,EU,SE,Stockholm
ARW,medium_airport,Arad International Airport,46.1766014099121,21.261999130249,352,EU,RO,Arad
ASF,medium_airport,Astrakhan Airport,46.2832984924,48.0063018799,-65,EU,RU,Astrakhan
ATH,large_airport,Eleftherios Venizelos International Airport,37.9364013672,23.9444999695,308,EU,GR,Athens
AUR,medium_airport,Aurillac Airport,44.8913993835449,2.42194008827209,2096,EU,FR,Aurillac
AVN,medium_airport,Avignon-Caumont Airport,43.9072990417481,4.90183019638062,124,EU,FR,Avignon/Caumont
AXD,medium_airport,Dimokritos Airport,40.855899810791,25.9563007354736,24,EU,GR,Alexandroupolis
BAY,medium_airport,Maramureș International Airport,47.660598,23.467252,605,EU,RO,Baia Mare
BBU,medium_airport,Băneasa International Airport,44.5032005310059,26.1021003723145,297,EU,RO,Bucharest
BCM,medium_airport,Bacău Airport,46.521900177002,26.9102993011475,607,EU,RO,Bacău
BCN,large_airport,Barcelona International Airport,41.2971,2.07846,12,EU,ES,Barcelona
BDS,medium_airport,Brindisi – Salento Airport,40.6576,17.947001,47,EU,IT,Brindisi
BDU,medium_airport,Bardufoss Airport,69.055801391602,18.540399551392,252,EU,NO,Målselv
BEB,medium_airport,Benbecula Airport,57.4810981750488,-7.36278009414673,19,EU,GB,Balivanich
BEG,large_airport,Belgrade Nikola Tesla Airport,44.8184013367,20.3090991974,335,EU,RS,Belgrade
BES,medium_airport,Brest Bretagne Airport,48.4478988647461,-4.41854000091553,325,EU,FR,Brest/Guipavas
BFS,large_airport,Belfast International Airport,54.6575012207,-6.21582984924,268,EU,GB,Belfast
BGC,medium_airport,Bragança Airport,41.8578,-6.70713,2241,EU,PT,Bragança
BGO,large_airport,Bergen Airport Flesland,60.29339981,5.218140125,170,EU,NO,Bergen
BGY,large_airport,Il Caravaggio International Airport,45.673901,9.70417,782,EU,IT,Bergamo
BHD,large_airport,George Best Belfast City Airport,54.6180992126465,-5.87249994277954,15,EU,GB,Belfast
BHX,large_airport,Birmingham International Airport,52.4538993835,-1.74802994728,327,EU,GB,Birmingham
BIA,medium_airport,Bastia-Poretta Airport,42.5527000427246,9.48373031616211,26,EU,FR,Bastia/Poretta
BIO,medium_airport,Bilbao Airport,43.3011016845703,-2.91060996055603,138,EU,ES,Bilbao
BIQ,medium_airport,Biarritz-Anglet-Bayonne Airport,43.4683333,-1.5311111,245,EU,FR,Biarritz/Anglet/Bayonne
BJF,medium_airport,Båtsfjord Airport,70.60050201416,29.691400527954,490,EU,NO,Båtsfjord
BJZ,medium_airport,Badajoz Airport,38.891300201416,-6.82133007049561,609,EU,ES,Badajoz
BLE,medium_airport,Borlange Airport,60.4220008850098,15.5151996612549,503,EU,SE,
BLK,medium_airport,Blackpool International Airport,53.7717018127441,-3.02860999107361,34,EU,GB,Blackpool
BLL,large_airport,Billund Airport,55.7402992249,9.15178012848,247,EU,DK,Billund
BLQ,large_airport,Bologna Guglielmo Marconi Airport,44.5354,11.2887,123,EU,IT,Bologna
